id_efectivo,id_especialidad,id_unidad_actual,id_rango_actual,nombre,ci,fecha_nacimiento,genero,departamento_origen,fecha_ingreso,estado,salario_mensual
58,11,39,2,Paco Cabrera Héctor,14586456,2005/09/05,M,L.P.,2023/08/04,EN ACTIVIDAD,"2,753.03 Bs"
59,3,22,5,Aliaga Villca Javier,C.I. 1878547 SC,22/09/1983,HOMBRE,Sta Cruz,09/05/2007,Activo,"Bs 3.978,48"
60,5,43,5,Flores Sánchez Daniel,11796025-SC,1996/02/21,masc,SANTA CRUZ,20200912,Act.,3582.11
61,20,9,5,Paco Valda Cristian,12105329,03-06-1992,masc,Sta. Cruz,2012/12/25,EN ACTIVIDAD,"Bs. 4,259.03"
62,15,50,9,Rojas Laura Jimena,10570049,07-17-1992,mujer,santa cruz,20160327,activo.,"5,982.11"
63,15,23,3,CASTILLO GUTIÉRREZ OSCAR,2538698,19800702,Hombre,TARIJA,12/09/2003,A,"Bs.- 3,445.07"
64,5,4,2,López Alanoca Antonio,C.I. 4835916 BN,2002/02/09,Masculino,beni,20220809,Activo,2673.36
65,9,14,1,Herrera #Copa Alejandro,sin dato,09-24-2000,sin dato,LaPaz,sin dato,EN ACTIVIDAD,2060.15
66,17,24,1,Salazar   Limachi   Antonio,1.221.0785 LP,09-18-1999,M,la paz,2021/09/18,Activo,"Bs. 2,446.40"
67,6,50,5,Villca   López   Wilson,10160590-LP,1994/12/16,M,la paz,20140303,activo.,"Bs 4.305,71"
68,11,18,1,Rojas Fernández Pedro,CI: 14100347,06-14-1999,Masc.,Cbba,15-12-2020,en reserva,2125.19
69,10,12,6,Arce Apaza Carlos,8180149-LP,28/08/1993,masc,LaPaz,20140603,Activo,"Bs.4,184.69"
70,15,39,4,GARCÍA FLORES RAÚL,5960015-cb,23/03/1993,M,Cochabamba,2018/06/15,act,"Bs 3.777,44"
71,8,50,1,YUJRA BLANCO CARLOS DAVID,3.117.788 CB,13/06/2003,MASCULINO,cochabamba,01-20-2025,Activo,"Bs.2,166.95"
72,15,14,3,Nina Machaca Adrián Arturo,5.391.883 SC,16/12/1989,Hombre,Sta Cruz,05/02/2010,RESERVA,2956.84
73,17,15,5,Chura Callisaya Sergio,1.431.6015 SC,19830426,MASCULINO,santa cruz,26-04-2003,ACTIVO,"Bs 3.641,42"
74,9,31,3,Laura   Fernández   Cristian,3893776,1983/03/27,Masculino,Cochabamba,14/08/2005,act,2589.71
75,3,29,4,  Limachi Zenteno Arturo  ,3102634-sc,11-17-1994,M,SCZ,27/03/2017,Act.,"Bs 3.542,59"
76,7,41,3,Ochoa Cabrera Verónica,CI: 2323049,05/05/1997,F.,CBBA,20191018,Activo,"3,126.89"
77,20,41,8,Aliaga Salazar Carlos Enrique,4536777-LP,21/08/1988,M,Lp,11-10-2010,EN ACTIVIDAD,"5,675.31 Bs"
78,17,36,6,Saavedra   Apaza   Germán,3193891-pn,08-06-1983,hombre,PANDO,20080209,Act.,"3,747.51"
79,1,6,11,vásquez castillo gonzalo,C.I. 6176450 CB,1987/09/15,masculino,Cbba,04-19-2008,ACTIVO,"6,488.72 Bs"
80,12,36,2,Condori Poma Alejandro,10425722 - lp,13/02/2002,Masculino,LP,08-25-2024,Activo,2743.98
81,3,8,5,Callisaya Chambi Alejandro,7901353-CB,22/07/1996,Hombre,COCHABAMBA,2015/06/14,BAJA,"Bs.- 3,239.19"
82,16,34,5,Castillo Condori David,N/D,03-20-1994,N/D,LaPaz,2014/06/20,A,"3,677.97 Bs"
83,11,47,3,Yujra Cabrera Elizabeth Teresa,10281346,1992/06/04,F.,Pt,2017/10/26,Reserva,"3,142.77"
84,2,38,3,Alanoca Quispe Armando,5454861,17/03/1995,Hombre,Sta. Cruz,27/03/2019,en actividad,"Bs 2.578,41"
85,17,25,10,Ochoa Cruz Rosa,12110322SC,15/03/1993,Fem.,SANTA CRUZ,20160912,A,7216.93
86,16,23,4,Canaviri Cruz Gladys,9204110SC,19971209,FEMENINO,SC,19/02/2019,ACTIVO,"Bs 3.277,29"
87,5,7,3,Zenteno   Suárez   Nelson,10429097-LP,04-08-1998,MASCULINO,La Paz,20161117,Act.,"Bs 2.759,55"
88,3,42,1,Cusi Fernández Jimena,Sin Dato,Sin Dato,Fem.,COCHABAMBA,20190314,Sin Dato,"1,986.02"
89,7,8,3,VALDA LÓPEZ ALEJANDRA,8852085-TJ,1990/03/24,fem,TARIJA,2015/11/09,act,"2,562.68"
90,13,16,3,CALLE MARTÍNEZ PABLO DANIEL,1114590-BN,1994/05/11,masculino,Bn,24/10/2016,activo.,"Bs.- 2,785.40"
91,5,30,10,Laura\tCopa Edgar Javier,3240912LP,14-06-1997,Masculino,LaPaz,09-26-2022,Activo,5950.9
92,17,29,5,  Rojas Salazar Héctor  ,3.760.475 SC,11-07-1983,Masc.,Sta. Cruz,2008/02/17,A,BS 3293.42
93,19,39,5,Fernández Rodríguez Héctor,14836431CB,12-02-1983,masculino,CBBA,12/12/2002,Rsv,BS 4268.17
94,18,4,1,Huanca Condori Adrián,12750508 - cb,08-02-1999,hombre,Cbba.,06-07-2019,act,"Bs 2.375,45"
95,8,1,2,rodríguez vargas raúl víctor,7594429,15/05/1998,Masculino,Pando,18-07-2020,act,2297.25
96,8,48,1,  García Chambi Elizabeth  ,11029166-lp,15/07/1998,F.,la paz,09-07-2017,Activo,"Bs. 2,382.20"
97,14,36,2,SÁNCHEZ TORREZ VALERIA,10926527,01-12-2005,MUJER,LaPaz,13/11/2025,en actividad,"Bs 2.364,05"
98,9,14,3,Limachi   Escobar   José,7.516.590 SC,1990/11/03,M,SCZ,03/06/2015,ACTV,BS 3296.47
99,16,16,1,Machaca Mamani Ramiro,4188068-LP,07-08-2001,masculino,LaPaz,25/06/2023,EN ACTIVIDAD,BS 2177.73
100,9,36,1,salazar saavedra marco,3448176 - lp,2004/05/05,H,LaPaz,20230608,EN ACTIVIDAD,"2,420.02 Bs"
101,17,3,1,Vásquez Vargas Daniel,10095547,11-02-1999,Hombre,Chuquisaca,2017/07/05,ACTV,"Bs.- 2,022.75"
102,1,33,4,Mamani\tQuispe Raúl,5.609.384 SC,1993/03/04,Masculino,SC,20120905,EN ACTIVIDAD,3522.18
103,3,26,1,flores tito rodrigo,1.190.3419 PN,2004/07/18,HOMBRE,Pando,21-01-2025,activo,"Bs. 1,983.11"
104,6,21,1,  Condori Chura Jhonny  ,5703878-LP,19-04-1998,hombre,la paz,12-27-2017,Act.,BS 1920.78
105,20,50,5,CHOQUE GARCÍA ADRIÁN,2275374,06-01-1992,hombre,Cochabamba,2014/08/16,A,BS 3860.46
106,12,7,4,  Blanco Alanoca Mario  ,7.536.772 LP,01-10-1982,hombre,LA PAZ,25/06/2007,Activo,3025.16
107,19,34,3,Nina   Aliaga   René   Erick,1.038.7465 LP,11-13-1985,masculino,LA PAZ,03-09-2005,en actividad,BS 2993.81
108,11,29,6,mamani poma marcelo andrés,11405098,07-27-1990,Hombre,Cbba,2010/05/11,EN ACTIVIDAD,4446
109,19,35,2,POMA LAURA OSCAR,10459841-LP,2000/11/25,hombre,LaPaz,24/01/2022,A,"Bs. 2,656.28"
110,18,3,8,  Calle Rivera René David  ,9499549 - cb,12-26-1993,hombre,Cbba,20120225,act,5456.92
111,13,30,6,Rivera Callisaya Adrián,8478923,17-12-1998,MASCULINO,SC,01/06/2018,EN ACTIVIDAD,BS 3942.24
112,4,2,1,CALLISAYA HERRERA FERNANDO,6.037.595 CB,11-04-2003,hombre,CBBA,08/12/2022,act,"Bs 2.234,26"
113,3,37,4,Nina Mamani Lorena,CI: 4452490,1983/09/06,F.,Sta. Cruz,2006/06/07,ACTV,3157.6
114,5,21,1,CANAVIRI ARCE HUGO,11309339,04-10-1999,MASCULINO,Cbba.,2017/03/12,Act.,2207.14
115,5,13,11,COPA CHOQUE MARCO,1160783,09-17-1987,masc,Tj,22/07/2012,en actividad,"7,972.82 Bs"
116,9,50,1,Vásquez   Escobar   Adrián,C.I. 10608547 SC,2003/09/27,H,SCZ,20211215,EN ACTIVIDAD,"Bs. 2,523.25"
117,20,41,5,RAMOS CRUZ ROBERTO,10863726-PT,03-20-1993,Hombre,POTOSI,27/04/2013,ACTV,"Bs. 3,297.67"
118,5,16,2,Machaca #Choque Sandra Angélica,1.200.4113 PN,12-11-2000,Femenino,pando,11-13-2019,A,"Bs.2,558.07"
119,15,41,1,mamani saavedra rolando,13293069-OR,26/02/2003,Masc.,Or.,07/07/2025,Bja,BS 2414.4
120,15,1,9,Quispe #Rodríguez Pedro Marcelo,3650523 - bn,23/04/1994,Hombre,BENI,10/11/2014,A,BS 6552.94
121,17,44,3,Mamani   Cruz   Miguel,3.226.333 CB,1994/01/01,Masculino,Cochabamba,28/02/2017,A,2668.96
122,20,42,1,Yujra Gutiérrez Daniel,C.I. 10450458 LP,12/08/2000,Masculino,Lp,2019/11/24,ACTV,BS 2141.73
123,1,43,4,Tito Flores Daniel,11083091-lp,04-17-1989,Masculino,L.P.,12-13-2010,ACTV,2945.66
124,12,35,8,López\tNina Wálter,10535840-tj,19980325,hombre,Tj.,01/02/2023,activo.,BS 4441.52
125,17,14,1,Copa Gutiérrez Mauricio,6199374-LP,09-11-2000,masc,La Paz,21/10/2021,act,2298.89
126,1,11,2,Paco Vargas Pablo,12876601-LP,17-06-2005,M,la paz,09-12-2025,A,"2,220.20 Bs"
127,12,11,2,Castillo Laura Lucía,10510771-LP,02-19-2002,femenino,Lp,24/04/2020,activo,2158.03
128,3,37,3,Ramos Limachi Erick,6367620,02-17-1991,H,Chq,08/03/2009,activo.,"3,433.27 Bs"
129,18,49,2,Ramos Montaño Andrés,9277218,01/03/2001,hombre,CBBA,2022/01/08,ACTIVO,"Bs. 2,601.96"
130,17,27,3,GUTIÉRREZ CANAVIRI JOSÉ,CI: 1736524,24/08/1991,MASCULINO,L.P.,04/10/2010,Activo,"Bs.- 3,123.49"
131,19,7,2,Torrez Mendoza Marco,4400953-LP,06/02/2000,H,LA PAZ,11/08/2021,A,"2,526.94"
132,9,12,4,Ramos   Apaza   Marco   Germán,1821255CB,28/07/1980,M,COCHABAMBA,24/09/2003,act,"Bs 2.986,62"
133,15,9,2,Machaca Zenteno Wilson,2.081.661 LP,04/06/1999,hombre,Lp,08-02-2017,Act.,"Bs. 2,555.41"
134,2,6,10,Ramos Tito Antonio,7912082CB,1992/07/05,hombre,CBBA,04-21-2016,Rsv.,BS 6550.34
135,9,4,1,Vargas #Quispe Marco,4674549CB,20050912,M,COCHABAMBA,04-06-2025,act,"Bs 2.303,53"
136,12,37,1,Martínez   Arce   Hugo,7019382 - or,07/10/2000,masculino,Oruro,10/09/2021,ACTV,"Bs. 1,895.06"
137,17,24,1,Rivera Canaviri Marco Mario,13991714CH,06-23-1999,masculino,Sucre,04/10/2020,activo.,"Bs.2,082.92"
138,5,12,4,Zenteno Vargas Edwin,13314392 - cb,1980/12/19,Masculino,Cbba.,02/10/2003,ACTIVO,"Bs. 3,214.58"
139,1,17,9,Colque   Alanoca   Miguel,6.632.941 SC,04-23-1991,MASCULINO,Sta. Cruz,06-09-2010,act,"Bs 6.183,52"
140,10,2,1,Yujra   Mendoza   Jhonny,2236638-lp,20030504,Hombre,LaPaz,2021/06/06,en reserva,1976
141,10,20,3,CRUZ ROJAS GABRIELA CECILIA,1.029.6463 CB,02/02/1987,F.,Cbba.,18/10/2011,activo,"Bs. 2,688.23"
142,3,42,3,SÁNCHEZ BLANCO JIMENA,9205682-CB,06-07-1997,F.,Cochabamba,12/07/2020,ACTIVO,2590.16
143,14,35,14,Escobar Choque Alejandro,CI: 14730561,19750819,HOMBRE,Tj.,10/08/2000,EN ACTIVIDAD,"Bs. 14,570.83"
144,20,17,2,Flores Yujra Andrea Marisol,CI: 14800334,20031226,F,CBBA,2021/02/13,activo.,BS 2539.04
145,10,35,1,  Cusi García Jhonny  ,1.044.0266 BN,2003/07/09,hombre,Beni,11-16-2024,Activo,"Bs.2,182.21"
146,9,32,4,Quispe Villca Oscar,6084418 - pt,05/04/1983,masculino,POTOSÍ,20051215,act,BS 3217.29
147,5,50,7,Morales   Huanca   Rosa,9502613,10-01-1996,fem,Cbba,04-27-2016,EN ACTIVIDAD,"4,162.98 Bs"
148,12,11,5,Vásquez Chambi Carlos,8962169-cb,27-12-1988,masc,CBBA,01/05/2007,act,"3,415.71 Bs"
149,8,17,1,López\tTito María,14436281-LP,12-23-2002,F.,LP,07-13-2022,reserva,"2,172.94 Bs"
150,3,22,10,Chambi #Fernández Wálter,2813693,1992/11/11,M,cochabamba,05-21-2014,Activo,"Bs.7,265.13"
151,11,47,2,Limachi Poma Javier,C.I. 1592554 CB,18/11/2001,Masculino,Cbba.,12/11/2022,A,BS 2759.06
152,11,24,8,Mendoza Apaza Cecilia,6152035 - lp,10-10-1992,fem,LA PAZ,16-02-2017,act,"5,409.66 Bs"
153,11,46,2,villca limachi mónica andrea,8676774-PN,2000/02/16,F.,PANDO,11-06-2020,ACTIVO,2168.51
154,1,21,6,NINA MAMANI FRANZ,4345615,04-01-1996,HOMBRE,La  Paz,24/11/2014,activo,"Bs. 4,443.84"
155,16,23,5,Paredes\tValda David,3244614,03-26-1986,Masculino,SC,2010/01/08,activo,"Bs 4.352,76"
156,4,27,1,Colque García Antonio José,1331211,07-04-2005,Masculino,Sta Cruz,05-16-2025,ACTV,2005.63
157,16,13,1,Copa   Rodríguez   Fernando,CI: 14166089,27/05/2001,masculino,Cbba,12/04/2023,activo,"Bs.2,064.93"
158,9,42,1,Flores   Aliaga   Pablo,13139383-SC,10-08-2001,Hombre,Sta. Cruz,2021/08/02,ACTIVO,"1,985.3"
159,3,24,3,Morales Villca Daniel,8343630CB,1990/03/04,MASCULINO,Cochabamba,15/07/2014,activo,2897
160,12,40,6,SALAZAR YUJRA WILSON,11256300,27/11/1980,Hombre,Cochabamba,2005/03/16,Rsv.,BS 3712.3
161,8,31,8,Ochoa Callisaya Pablo,2597897,19931122,Masc.,SCZ,03-27-2017,EN ACTIVIDAD,"5,811.62"
162,13,16,6,Torrez Choque Freddy,10235783SC,15/08/1982,hombre,Sta. Cruz,28/02/2007,activo.,3968.24
163,11,24,9,Valda Castillo Antonio,1.198.2298 SC,04-28-1988,Masculino,SCZ,2013/06/18,activo,"Bs 5.973,92"
164,14,7,8,Machaca   Condori   José,9567311SC,11-24-1995,MASCULINO,SCZ,06-09-2017,ACTIVO,"Bs 5.619,09"
165,5,46,11,laura callisaya teresa,3754070LP,1988/02/09,Femenino,LP,04/04/2009,RESERVA,BS 7259.02
166,19,31,8,Mamani Ochoa Gustavo Rolando,C.I. 10281597 OR,03-23-1996,hombre,oruro,20161227,en actividad,"Bs. 5,024.35"
167,10,45,13,LÓPEZ LIMACHI LORENA,13556519 - sc,19851224,FEMENINO,santa cruz,04-07-2006,Activo,"Bs.9,840.33"
168,14,1,4,Colque Canaviri Wilson,13547155,01/02/1996,H,COCHABAMBA,02-03-2020,A,"Bs. 3,093.90"
169,8,33,6,Paco Escobar Iván Rodrigo,13455618-tj,22/12/1989,H,TARIJA,2007/07/13,EN ACTIVIDAD,"4,563.02"
170,10,29,2,RIVERA SUÁREZ ENRIQUE,CI: 4296204,03/11/2000,HOMBRE,Or,24/03/2019,EN ACTIVIDAD,"Bs.2,407.90"
171,16,37,4,Aliaga Chura Marco,12104675,06-03-1997,hombre,Santa Cruz,08/09/2020,Baja,"Bs.3,421.02"
172,4,43,1,CALLE ESCOBAR ALEJANDRO,11893448-pt,20030808,hombre,Potosi,10-08-2025,dado de baja,2320.48
173,11,33,2,Herrera Vásquez Gustavo,11930829-LP,1999/02/06,Masculino,L.P.,09-01-2021,act,"Bs.2,283.09"
174,9,36,2,VILLCA CONDORI MARIO GERMÁN,1910467,1999/10/27,Masc.,La Paz,2018/05/14,ACTV,2597.66
175,20,6,4,  Castillo García Luis  ,1.250.7134 CB,1989/08/13,Masc.,Cbba,20131101,Act.,"Bs. 3,434.14"
176,2,1,2,MAMANI ESCOBAR YOLANDA,3.371.859 TJ,2004/09/18,MUJER,TARIJA,07/05/2022,en actividad,2802.66
177,18,5,9,QUIROGA CHOQUE PABLO,10208193,1992/11/03,Masculino,Tj,2014/02/07,en actividad,"Bs 5.777,71"
178,14,11,4,GUTIÉRREZ SALAZAR ANDRÉS,14550953 - sc,08/06/1980,masculino,Sta. Cruz,12-24-2001,A,"3,172.21 Bs"
179,9,47,2,QUIROGA ZENTENO MIGUEL,CI: 10036511,19991203,Masc.,La  Paz,09-21-2017,activo.,"2,561.42 Bs"
180,17,33,10,Rivera Ticona Edwin,3246154,07-12-1989,masculino,TARIJA,08/11/2007,ACTV,"Bs.7,097.75"
181,9,24,1,condori mendoza nelson,4888118,20010122,Hombre,Oruro,2020/09/26,activo.,2179.98
182,17,17,1,vargas nina wilson,7128662 - sc,04-17-2004,MASCULINO,Sta. Cruz,27/06/2025,RESERVA,"2,191.33 Bs"
183,11,47,7,CANAVIRI ZENTENO SERGIO,4864570-LP,22/08/1983,HOMBRE,Lp,07/08/2008,activo.,5012.05
184,10,6,1,  Ochoa Poma Rubén  ,CI: 10455717,2001/08/20,HOMBRE,Sta Cruz,08-06-2022,Act.,BS 2141.11
185,17,44,14,Nina López Wilson René,CI: 4394845,1971/03/20,Masculino,LaPaz,1996/03/16,Rsv.,"13,389.27"
186,8,31,8,Limachi Laura Enrique,12704504,06-19-1994,Masc.,tarija,05/07/2013,activo,"Bs.5,614.74"
187,14,24,4,Nina Tito Roberto,14493699-lp,03-14-1983,masc,LP,05-28-2005,activo.,"3,465.96 Bs"
188,4,48,2,Salazar Apaza Rubén,7679508 - or,2001/08/26,M,ORURO,02-07-2020,activo,"2,714.56"
189,13,26,1,Huanca Pérez David,2342843-lp,12-20-2002,masc,La Paz,2020/03/21,activo.,"1,877.07 Bs"
190,13,23,3,Tito   Mamani   Pedro,2456980-PN,19-07-1992,HOMBRE,Pn,01/09/2013,A,"Bs. 2,611.76"
191,17,19,1,Pérez Vargas Jorge,2786185-cb,02-26-2003,masc,Cbba,20250518,EN ACTIVIDAD,"Bs.2,249.43"
192,11,27,3,NINA ALANOCA JIMENA LUCÍA,4697401PT,18/09/1991,MUJER,POTOSÍ,12-27-2009,Activo,"Bs. 2,808.56"
193,8,17,3,Machaca Rojas Adrián,4349848 - sc,1986/04/07,HOMBRE,Santa Cruz,2007/10/12,activo.,2646
194,6,49,11,Valda Cabrera Marco,CI: 5609255,07-08-1983,MASCULINO,Sta. Cruz,20030117,activo.,"7,451.22 Bs"
195,18,17,2,GARCÍA MARTÍNEZ ÁLVARO,5357055CB,05-16-2001,hombre,Cbba,06-12-2023,ACTV,2442.96
196,5,48,2,Arce Ramos Fernando,CI: 7390162,2000/08/26,masculino,SC,14/03/2018,ACTV,2871.67
197,9,24,5,Calle Orellana Álvaro,8547311 - sc,09-18-1991,Masc.,SANTA CRUZ,20130601,A,"Bs 3.630,24"
198,6,41,2,  Flores Nina Adrián  ,8780468-SC,21/07/2003,H,Sta Cruz,13/10/2025,act,"Bs. 2,178.51"
199,5,47,1,Ochoa Herrera Yolanda,4.085.098 CB,09/11/2001,femenino,cochabamba,2019/04/06,ACTIVO,1933.07
200,5,34,2,Ramos Paco René,11510601-CB,01-02-2000,Masc.,COCHABAMBA,06-28-2020,EN ACTIVIDAD,2856.24
201,20,9,1,Alanoca Rodríguez Carla,3012881,11-25-2004,Mujer,SCZ,02-23-2023,Activo,"Bs. 2,064.42"
202,3,29,3,Suárez Sánchez Arturo,9080774,14/06/1989,Masc.,Chuquisaca,2011/03/10,EN ACTIVIDAD,3020
203,7,27,6,CHAMBI MENDOZA FRANZ,10197474-PT,07-13-1997,masc,potosí,2018/03/23,ACTV,"4,061.05"
204,5,19,2,TORREZ LIMACHI ADRIÁN,2148634,19991115,M,Lp,20210809,A,"Bs. 2,494.00"
